place_id,지점명,리뷰수
1113384749,동양미래대점,160
1320051621,양천향교점,218
1588254549,,158
1601981946,송정역점,169
1161335521,,413
1126343564,연신내점,196
1632711633,성신여대점,262
1516484705,삼거리점,44
1308648776,성수점,286
1972585179,,379
1189283598,신도림점,153
1120915524,종로평창점,35
1831537710,홍제점,202
1456505357,홍대점,464
1765329714,길동점,186
1005671374,당산점,221
1109103798,오거리점,90
1654545522,영등포점,287
1151197342,충정로역점,167
1480935223,등촌역점,138
1294998541,구청점,118
1164697805,오목교점,359
1460937600,자이점,426
1826878021,,349
1035417750,구로디지털단지점,307
1778168403,화곡점,998
1269875819,응암점,149
1058646920,천호점,758
1754035019,종로점,536
1538729455,마곡나루역,327
1160722316,건대점,209
1117014686,구청점,253
1390537313,,912
1516621298,구청점,168
1479645620,은계점,126
1384001087,평내호평역점,174
1866157196,탑동점,171
1821667598,서현점,257
1326207551,용인역북점,127
1119031588,,222
1548256786,백석점,174
1736872254,,53
1504742739,용인보정점,148
1021328867,야당점,323
1005285987,산본역점,298
2035205067,,78
1878005111,수원대점,20
1206922924,오산궐동점,53
1473086261,구래점,299
1649261391,화정점,270
1636872723,,282
2075104976,금정역점,4
1609455973,스타점,223
1176057446,호매실점,219
1067019539,김포라베니체점,142
1786518367,성균관대역점,634
1589643697,송내역점,328
1689318282,영천점,640
1793190651,금촌점,62
1246713796,김포걸포점,252
1464102670,중동점,259
1955908512,구청점,98
1203012249,호수공원점,134
1302373002,수지구청점,582
1520786739,수원망포역점,105
1987203694,마을점,899
1795457581,인덕원역점,74
1010789905,,128
1187925231,파주문산점,49
1877974128,,67
1118110136,화서점,713
1687464008,,63
1106422894,병점점,90
1951767302,목감역점,118
1015428518,원흥점,133
1576018495,,99
1325790626,정왕점,1090
1369695595,시흥능곡역점,70
1263698440,의정부역점,1236
1657568318,야탑역점,295
1074672431,오목천점,70
1264429310,직영점,1744
1416373307,,63
1939572336,,834
2025246783,호매실수자인점,146
1231349340,마장점,160
1020139895,풍무점,258
1314343135,역곡점,357
1144831833,,275
1548169996,동백점,115
1769471357,수원고색역점,101
1904029520,,179
1976292314,모란점,266
1284647505,,80
1875835175,목동로데오점,189
1265782586,신정네거리역점,205
1195530733,사당역점,250
1494938619,교대역점,329
1215140348,발산역점,593
1249032365,마곡역점,206
1418180719,광명역점,1100
1473371787,한대앞역점,245
1175386565,미금점,268
