place_id,블로그_리뷰수
1113384749,58.0
1320051621,47.0
1588254549,42.0
1601981946,24.0
1161335521,712.0
1126343564,68.0
1632711633,62.0
1516484705,5.0
1308648776,185.0
1972585179,114.0
1189283598,46.0
1120915524,7.0
1831537710,82.0
1456505357,1173.0
1765329714,49.0
1005671374,58.0
1109103798,25.0
1654545522,69.0
1151197342,63.0
1480935223,19.0
1294998541,27.0
1164697805,43.0
1460937600,62.0
1826878021,132.0
1035417750,158.0
1778168403,74.0
1269875819,39.0
1058646920,40.0
1754035019,180.0
1538729455,158.0
1160722316,50.0
1117014686,58.0
1390537313,762.0
1516621298,87.0
1479645620,25.0
1384001087,76.0
1866157196,102.0
1821667598,214.0
1326207551,43.0
1119031588,42.0
1548256786,152.0
1736872254,21.0
1504742739,38.0
1021328867,108.0
1005285987,64.0
2035205067,2.0
1878005111,10.0
1206922924,23.0
1473086261,194.0
1649261391,43.0
1636872723,6.0
2075104976,1.0
1609455973,114.0
1176057446,45.0
1067019539,45.0
1786518367,127.0
1589643697,128.0
1689318282,192.0
1793190651,51.0
1246713796,53.0
1464102670,117.0
1955908512,32.0
1203012249,42.0
1302373002,196.0
1520786739,21.0
1987203694,111.0
1795457581,19.0
1010789905,19.0
1187925231,22.0
1877974128,51.0
1118110136,119.0
1687464008,20.0
1106422894,35.0
1951767302,88.0
1015428518,30.0
1576018495,34.0
1325790626,1399.0
1369695595,26.0
1263698440,74.0
1657568318,153.0
1074672431,19.0
1264429310,869.0
1416373307,12.0
1939572336,158.0
2025246783,6.0
1231349340,11.0
1020139895,25.0
1314343135,66.0
1144831833,307.0
1548169996,38.0
1769471357,27.0
1904029520,54.0
1976292314,61.0
1284647505,12.0
1875835175,28.0
1265782586,66.0
1195530733,133.0
1494938619,97.0
1215140348,431.0
1249032365,342.0
1418180719,667.0
1473371787,64.0
1175386565,40.0
